"Lake","Year","Date","DOYtrunc","BGA_YSI","BGA_HYLB","Chl_YSI","Chl_HYLB","DO_YSI","DO_HYLB","DOlocalSat_YSI","DOlocalSat_HYLB","pH_YSI","pH_HYLB","SpCond_YSI","SpCond_HYLB","Temp_YSI","Temp_HYLB","BGA_YSI_ugL_correctedToFLAMe","Chl_YSI_ugL_correctedToFLAMe","BGA_logged_HYLB","Manual_Chl"
"L",2018,2018-08-10,222,0.0148423011072252,147.92202989914,1.22913020098822,2.18728606548844,7.76895833333333,7.7315625,98.9927083333333,98.5652777777778,6.63121314124386,6.34825917053813,11,10.9999955832526,24.5784722222222,24.4824652777778,NA,NA,1.95815745738079,2.00916341568192
"L",2018,2018-08-11,223,0.00825329366864361,157.676811565902,1.11840277777778,1.99502566180929,7.64340277777778,7.62871527777778,98.1180555555556,98.0256944444444,6.60225694444444,6.28572444831591,11,10.999998835904,24.9769097222222,24.9021875,NA,NA,2.05473617872004,1.96185543602035
"L",2018,2018-08-12,224,0.00825023967980303,147.382860800638,1.11076596857276,1.84340395728555,7.57038194444444,7.6890625,97.8055555555556,99.4128472222222,6.5921875,6.28563717618174,11,10.9999964472707,25.3279513888889,25.2339930555556,NA,NA,2.1336008607811,1.7663373885697
"L",2018,2018-08-13,225,0.00599794885094844,151.055448392232,1.05411852872467,1.8631964545659,7.45038194444444,7.61409722222222,97.1180555555556,99.2982638888889,6.548125,6.2911758372048,11,10.9999997156134,25.8117013888889,25.7036805555556,NA,NA,2.07983870505481,2.1727971809497
"L",2018,2018-08-14,226,0.00166318684055212,139.114583333333,1.05212412010741,2.00682855365929,7.30517600438993,7.51145833333333,95.3623870415994,98.2326388888889,6.54010147644161,6.27128000387147,11.0000000868297,10.9999997156134,25.8954812695328,25.8598263888889,NA,NA,2.1423466226119,1.7656245286022
"L",2018,2018-08-15,227,0.00554300666803891,155.645009093588,1.1293708318922,2.06471900739991,7.19215608171842,7.39725694444444,92.9866736468086,95.8791666666667,6.52494737277645,6.22440500387147,11.0000000868297,10.9999997178827,25.3690427606622,25.3734722222222,NA,NA,2.19001213728662,1.70554987497716
"L",2018,2018-08-16,228,0.00944515079198188,154.372890357086,1.18041403757585,2.03854856702718,7.18777777777778,7.27364583333333,92.5413194444444,93.8496527777778,6.5194391699293,6.22241112108378,11.0000000868333,10.9999997178792,25.1392708333333,25.1345138888889,NA,NA,2.18646701116724,3.26217682219775
"L",2018,2018-08-17,229,0.0106952136783154,160.276551420765,1.27327911377248,2.32499781793463,7.14509059735849,7.25694444444444,91.3365270332104,92.9805555555556,6.49539802592092,6.23155778164924,11.0000000868297,11,24.7523389042808,24.7481944444444,NA,NA,2.19337840102621,1.83315180916023
"L",2018,2018-08-18,230,0.0156036866498631,159.590277777778,1.21110328014737,2.2046554879506,7.14419886089603,7.34329861111111,90.8810544081966,93.5993055555556,6.50169128125768,6.29551611498258,11.0000000868297,10.9999997178827,24.4893128900437,24.4709722222222,NA,NA,2.19966520267078,2.27097744011037
"L",2018,2018-08-19,231,0.0154513888888889,175.729166666667,1.33037926353248,2.37324359427222,7.18756944444444,7.26677083333333,91.0791666666667,92.2767361111111,6.51086805555556,6.27641889276035,11,11,24.2815972222222,24.2756944444444,NA,NA,2.24307801326181,2.65404246446594
"L",2018,2018-08-20,232,0.0236128867590968,177.243055555556,1.5106678014444,2.73628446831729,7.15680555555556,7.24207558645975,90.1756944444444,91.5197916666667,6.50305555555556,6.26006472609369,11,11,23.9788194444444,24.0024305555556,NA,NA,2.24254217140921,NA
"L",2018,2018-08-21,233,0.0277563298809985,191.722783979099,1.65563734411825,2.99308533996823,6.99197916666667,7.14152777777778,86.7774305555556,88.9100694444444,6.43881944444444,6.17482167053813,11,11,23.1778125,23.2298611111111,NA,NA,2.27754823502631,NA
"L",2018,2018-08-22,234,0.0229258236574948,173.751611686888,1.41221783683004,2.49500727875943,7.0690625,7.08951388888889,86.9736111111111,87.4052083333333,6.45173611111111,6.24766889276035,11,11,22.6999305555556,22.7042708333333,NA,NA,2.06646979367122,NA
"L",2019,2019-05-11,131,0.106896369285326,312.583878968012,1.89275743558207,2.68590745345921,11.6318166679382,11.1772481358798,107.469945762244,106.954045014794,6.73087455327931,6.51210465422287,11.0000001730801,10.3777530638799,9.13433941138668,9.10832290701298,0.116555028104693,1.93729923201156,2.49546502287076,NA
"L",2019,2019-05-12,132,0.0893097638551116,361.339290245787,1.74629876643186,2.50328602183151,11.4603087750637,11.6768311967765,108.926124393829,110.8477332702,6.72287127037918,6.53005267672032,11.0000001001197,10.2511082587289,10.3400881176832,10.2971660189331,0.102644023209393,1.79977454167952,2.55900197800138,NA
"L",2019,2019-05-13,133,0.0754602322671912,378.408130179654,1.46127606724336,2.1022098106325,11.2169416474714,11.4430082197076,107.9872989503,110.21887312425,6.69573147990744,6.50508931376628,11.0000001683532,10.1970952983779,10.8820511845397,10.8758021065141,0.0916890437233482,1.53213822714151,2.57910062214061,2.43456323234864
"L",2019,2019-05-14,134,0.0681497706926233,379.499546784863,1.27438186005846,1.83339745847606,10.9887753426447,11.2163989236575,108.764481415071,110.835860062125,6.67642238279473,6.48549770085038,11.0000001098524,10.1740603626609,12.0898009156162,12.0470953156718,0.0859064686178651,1.35664456659489,2.58034799501081,2.63491844882844
"L",2019,2019-05-15,135,0.0525905269101433,370.190596698705,1.0921042138481,1.5721602777925,10.52955381925,10.7756114038992,109.145347578345,111.112650333516,6.62305074513441,6.4391478019829,11.0000000590935,10.1642393250995,14.1682571337222,14.0933954892982,0.0735991067859234,1.18548585680337,2.56957752570779,1.96871674135652
"L",2019,2019-05-16,136,0.0419416464464447,361.26096652171,1.09131173893891,1.56927105044992,9.92618502009125,10.2037930250604,106.588785254236,108.968303780744,6.6156493645484,6.42464183364264,11.0000631379172,10.1600584630408,15.8007206008939,15.7552506626969,0.0651758423391378,1.18474172286364,2.55901586945128,1.92865943984496
"L",2019,2019-05-17,137,0.0407349775666251,361.832740380745,0.965952986041537,1.38896910112429,9.68614230485034,9.90930248009167,104.041394136459,106.410484004816,6.62993996653542,6.43825666370984,11.0000582471264,10.1582570488331,15.805919678182,15.8161582077718,0.0642213672552005,1.067029853893,2.559699946531,1.80869366207619
