"lake","year","doy","avg.schmidt.stability"
"Peter",2019,215,229.321138906719
"Peter",2019,216,234.710610253094
"Peter",2019,217,243.007870539223
"Peter",2019,218,230.337188900051
"Peter",2019,219,231.86549693248
"Peter",2019,220,223.854219308778
"Peter",2019,221,209.503445832255
"Peter",2019,222,207.25234955375
"Peter",2019,223,214.836152759205
"Peter",2019,224,221.313758637078
"Peter",2019,225,208.232562824583
"Peter",2019,226,194.69832687196
"Peter",2019,227,191.000764489467
"Peter",2019,228,189.916350376794
"Peter",2019,229,184.801223355094
"Peter",2019,230,192.271614479886
"Peter",2019,231,180.33663745261
"Peter",2019,232,183.947647893054
"Peter",2019,233,188.842312978614
"Peter",2019,234,179.8842183348
"Peter",2019,235,167.3441717909
"Peter",2019,236,165.008213473687
"Peter",2019,237,165.703863850689
"Peter",2019,238,164.801614810734
"Peter",2019,239,159.782733080911
"Peter",2019,240,140.735482532498
"Peter",2019,241,131.291189727237
"Peter",2019,242,123.943488146676
"Peter",2019,243,124.710131750636
"Peter",2019,244,123.744203678424
"Peter",2019,245,127.497730817205
"Peter",2019,246,124.092951319252
"Peter",2019,247,118.105449405919
"Peter",2019,248,118.502983362119
"Tuesday",2013,137,35.9112838483665
"Tuesday",2013,138,38.6934891012017
"Tuesday",2013,139,44.1062714601112
"Tuesday",2013,140,61.4569704442897
"Tuesday",2013,141,68.6051998138384
"Tuesday",2013,142,54.8753647481831
"Tuesday",2013,143,42.5414218155728
"Tuesday",2013,144,40.3661586814115
"Tuesday",2013,145,48.2560261110086
"Tuesday",2013,146,56.3028292944941
"Tuesday",2013,147,59.8438492168476
"Tuesday",2013,148,62.3419146487798
"Tuesday",2013,149,62.6207338776672
"Tuesday",2013,150,78.5369505305691
"Tuesday",2013,151,90.0958159577716
"Tuesday",2013,152,87.931863175882
"Tuesday",2013,153,69.1994748151422
"Tuesday",2013,154,67.3998421092359
"Tuesday",2013,155,72.8988251205327
"Tuesday",2013,156,64.1028928724319
"Tuesday",2013,157,59.4729708182917
"Tuesday",2013,158,57.9419018557389
"Tuesday",2013,159,68.3426741676946
"Tuesday",2013,160,77.0097657665622
"Tuesday",2013,161,77.4547838304541
"Tuesday",2013,162,92.4647165740301
"Tuesday",2013,163,105.971820862318
"Tuesday",2013,164,105.074361349867
"Tuesday",2013,165,113.652468224106
"Tuesday",2013,166,122.214543676051
"Tuesday",2013,167,114.357960033946
"Tuesday",2013,168,122.632509878461
"Tuesday",2013,169,111.977615798704
"Tuesday",2013,170,120.603500973772
"Tuesday",2013,171,125.407882136609
"Tuesday",2013,172,121.63798962047
"Tuesday",2013,173,118.377165711826
"Tuesday",2013,174,126.469350053094
"Tuesday",2013,175,150.874478884178
"Tuesday",2013,176,154.96352867248
"Tuesday",2013,177,168.888242522049
"Tuesday",2013,178,166.747718516924
"Tuesday",2013,179,161.241679565209
"Tuesday",2013,180,146.312193683343
