"lake","year","doyCat","mean_temp","mean_chl","mean_pH","mean_doSat","mean_do","date"
"L",2013,156,16.2282638888889,3.51684730297222,6.52816267222222,95.5827491016319,8.80959712422222,2013-06-05
"L",2013,157,15.3688194444444,2.97190959594097,6.54291961666667,95.7899698465972,8.97931934644444,2013-06-06
"L",2013,158,15.4284027777778,2.24485192635764,6.55118350555556,97.6905524116667,9.146437402,2013-06-07
"L",2013,159,16.6248263888889,2.58220635499653,6.53616436174653,99.113822139375,9.06716656866667,2013-06-08
"L",2013,160,17.3245486111111,3.03344854888542,6.53410017222222,99.3892095932639,8.97131378142361,2013-06-09
"L",2013,161,17.4646180555556,2.78329905645486,6.57114878333333,100.685115617743,9.06497906866667,2013-06-10
"L",2013,162,19.0287081347222,2.80380760620486,6.60088279152083,104.074107879653,9.11168045755556,2013-06-11
"L",2013,163,20.2269791666667,2.82228646319444,6.57041961666667,101.135904243403,8.68063879088889,2013-06-12
"L",2013,164,20.6825181936806,3.99560140979167,6.57259415836458,100.369003958299,8.55460102928819,2013-06-13
"L",2013,165,20.6341319444444,3.38222538620833,6.56923906111111,99.6801276532986,8.49980545755556,2013-06-14
"L",2013,166,21.1298263888889,4.02180300739931,6.55778072777778,99.3523811397569,8.40577767977778,2013-06-15
"L",2013,167,20.8726388888889,3.48677817273958,6.49479461666667,96.7798584228125,8.22088184644444,2013-06-16
"L",2013,168,20.9793356053125,4.14164309666319,6.53149345780903,97.0069507612153,8.22858950836806,2013-06-17
"L",2013,169,20.5033612647569,2.71538431509028,6.42429286528472,96.6539190246528,8.25908568646528,2013-06-18
"L",2013,170,20.8850347222222,2.23218785703125,6.38489878333333,96.7177057683333,8.2146875,2013-06-19
"L",2013,171,21.1881597222222,2.72075854955556,6.39965572777778,95.6243367947569,8.08305555555556,2013-06-20
"L",2013,172,20.5279166666667,3.01256495224306,6.38298906111111,92.9547728784028,7.93934027777778,2013-06-21
"L",2013,173,20.1945138888889,2.36868436796875,6.32989878333333,90.8512951662847,7.80142361111111,2013-06-22
"L",2013,174,21.1165625,2.05213015673958,6.35552378333333,93.3334228526389,7.89881944444444,2013-06-23
"L",2013,175,22.7200468877431,1.91215918620139,6.34559322777778,94.0187988002778,7.77024305555556,2013-06-24
"L",2013,176,24.3337152777778,1.97008593734722,6.31882239444444,93.4167056215625,7.55180555555556,2013-06-25
"L",2013,177,25.4590972222222,2.22753900118056,6.29889561914931,92.0019527511111,7.3315625,2013-06-26
"L",2013,178,25.2557291666667,2.23161839208681,6.29930850555556,88.2222693359722,7.04701388888889,2013-06-27
"L",2013,179,24.1697916666667,2.73968012496875,6.31739878333333,89.0866836700694,7.21625,2013-06-28
"L",2013,180,22.8005902777778,2.77356631215625,6.32132239444444,89.3386475259028,7.37319444444444,2013-06-29
"L",2013,181,22.3318402777778,2.34551673202083,6.34208628333333,91.0061364239583,7.56159722222222,2013-06-30
"L",2013,182,23.0233074731944,2.95541022830556,6.3815429946875,93.7897620975,7.71713012474306,2013-07-01
"L",2013,183,23.0934722222222,2.32104079425,6.35562795,92.7648322288889,7.62451388888889,2013-07-02
"L",2013,184,23.4135416666667,2.28056534807292,6.35354461666667,93.0278926878125,7.61239583333333,2013-07-03
"L",2013,185,24.3184969544097,2.42259766026736,6.36146128333333,92.9881300542361,7.5209375,2013-07-04
"L",2013,186,24.9412847222222,2.41845605966667,6.38833628333333,93.0959029718056,7.46621527777778,2013-07-05
"L",2013,187,25.2842013888889,2.60138183678819,6.40416961666667,92.1531030590278,7.35895833333333,2013-07-06
"L",2013,188,25.5206944444444,2.92154897596181,6.43552378333333,92.7215483363194,7.3828125,2013-07-07
"L",2013,189,26.1608114345833,3.19677329222917,6.36701683888889,91.7369986717361,7.25020833333333,2013-07-08
"L",2013,190,25.9321527777778,3.86964695377778,6.30184322777778,88.8730079271181,7.04131944444444,2013-07-09
"L",2013,191,24.3914583333333,3.17541819610764,6.30650877885069,87.7165041586111,7.08447916666667,2013-07-10
"L",2013,192,23.9906597222222,2.40788274775694,6.31396128333333,88.6157176701389,7.19475694444444,2013-07-11
"L",2013,193,24.6934722222222,2.46356896537847,6.33357933888889,90.5331749015278,7.28340277777778,2013-07-12
"L",2013,194,24.9299652777778,2.55680709801736,6.35323211666667,90.4470647440972,7.25451388888889,2013-07-13
"L",2013,195,25.628125,2.77394863259375,6.35225989444444,90.8569118667014,7.22478770430208,2013-07-14
"L",2013,196,26.3287621060069,2.68713047504514,6.29949559050694,90.3369424527431,7.12457701746181,2013-07-15
"L",2013,197,27.5059361173958,2.83951820022917,6.34951388888889,90.8371654802778,7.07340277777778,2013-07-16
"L",2013,198,28.0905555555556,2.72330948322569,6.36048611111111,88.3654409051389,6.83520833333333,2013-07-17
"L",2013,199,28.4114930555556,3.21657326459722,6.35809027777778,87.8620746896875,6.77368055555556,2013-07-18
"L",2013,200,27.9554861111111,3.34812507436458,6.40416666666667,88.0365390412153,6.81916666666667,2013-07-19
"L",2013,201,26.7171875,3.26451687074653,6.4078125,87.8756718478125,6.8990625,2013-07-20
"L",2013,202,25.4914583333333,3.41649496645486,6.39631944444444,87.5167769142361,6.97041666666667,2013-07-21
"L",2013,203,24.8402862216319,3.79140481046528,6.37298149130903,87.0879396854167,6.99290938654861,2013-07-22
"L",2013,204,23.6840972222222,3.61779051453472,6.3696875,87.9402610549653,7.16930555555556,2013-07-23
"L",2013,205,22.9012847222222,3.55910577139931,6.36878472222222,89.1166573849653,7.34430555555556,2013-07-24
"L",2013,206,22.5236458333333,3.37024631381597,6.35565972222222,88.6596778675347,7.3459375,2013-07-25
"L",2013,207,22.2050400755556,4.01264226663194,6.3578125,88.398445930868,7.36340277777778,2013-07-26
"L",2013,208,20.6203819444444,3.76830669749306,6.34402777777778,87.9220896883681,7.49927083333333,2013-07-27
"L",2013,209,19.1972222222222,4.68847452545833,6.32625,87.9764892106597,7.68208333333333,2013-07-28
"L",2013,210,18.6964941099306,3.08751268859028,6.33001748844444,89.470477084757,7.87867524642708,2013-07-29
"L",2013,211,19.6647569444444,3.89707881722222,6.34954861111111,91.5644804170486,7.93149305555556,2013-07-30
"L",2013,212,20.3097916666667,3.53818603315625,6.40736111111111,93.1187076053472,7.98060920849653,2013-07-31
"L",2013,213,20.6236111111111,2.77261939260069,6.42739583333333,94.7192009135417,8.07819444444444,2013-08-01
"L",2013,214,21.204375,2.58454149181597,6.43760416666667,94.5058890674306,7.98732558326736,2013-08-02
"L",2013,215,21.0441319444444,2.57839227596875,6.43621527777778,94.0574069328819,7.97698251521528,2013-08-03
"L",2013,216,20.6503819444444,2.46575830364931,6.41371527777778,93.0238787543056,7.93391217292014,2013-08-04
"L",2013,217,20.1021527777778,3.27053870488194,6.40944444444444,91.8081132440972,7.90763741818403,2013-08-05
"L",2013,218,20.2901718148264,2.40734333726389,6.3984285224375,91.8894092193403,7.87944758094097,2013-08-06
"L",2013,219,21.3096875,2.65690110879861,6.41972222222222,94.5326516580208,7.97881362954167,2013-08-07
"L",2013,220,20.6399652777778,2.30216413927778,6.41194444444444,92.568778488507,7.90070184097917,2013-08-08
"L",2013,221,20.5339583333333,2.67236580546875,6.41864583333333,92.3980001090278,7.90277930634375,2013-08-09
"L",2013,222,20.3667361111111,2.45295214865278,6.40774305555556,91.8828916439931,7.86737375604861,2013-08-10
"L",2013,223,20.4065029793403,2.08203705062847,6.366421344875,92.2371071114931,7.89896344250694,2013-08-11
"L",2013,224,20.7754166666667,2.35886371598958,6.44798611111111,94.2993961745139,8.02971946359028,2013-08-12
"L",2013,225,20.1788541666667,2.36798563943403,6.45597222222222,92.4567102538194,7.95174011948611,2013-08-13
"L",2013,226,19.9233680555556,2.22149467665625,6.45909722222222,92.1942024519097,7.96909467286458,2013-08-14
"L",2013,227,19.8587847222222,2.18411920063194,6.458125,92.5596665620486,7.98469107116319,2013-08-15
"L",2013,228,20.2421180555556,2.27122299378472,6.47427083333333,93.8829875840972,8.05882109922917,2013-08-16
"L",2013,229,21.0378472222222,2.33450778829861,6.46653140253125,95.0478067893403,8.04810154939236,2013-08-17
"L",2013,230,21.5337847222222,2.27904771664236,6.48503472222222,95.4574678235764,8.02608065825347,2013-08-18
"L",2013,231,21.8853125,2.30941042428125,6.49354166666667,95.4178730365625,7.97859686962847,2013-08-19
"L",2013,232,22.6138194444444,2.21105637675,6.52940972222222,96.1581191069097,7.95071653096528,2013-08-20
"L",2013,233,23.4830208333333,2.39558471782639,6.54159722222222,95.9479110169792,7.84001562479514,2013-08-21
"L",2013,234,23.3227083333333,2.01121599434028,6.48706118603472,93.8562240371181,7.69137881124653,2013-08-22
"L",2013,235,22.9418402777778,2.05314292335069,6.45347222222222,92.6031421767361,7.62720191413889,2013-08-23
"L",2013,236,23.1094444444444,2.3326803174375,6.48538194444444,94.0463172485417,7.7279539114375,2013-08-24
"L",2013,237,23.5161805555556,2.37213433688194,6.49399305555556,93.9353337403125,7.67104314132292,2013-08-25
"L",2013,238,24.6668055555556,2.65416273739236,6.53149305555556,94.3945488864931,7.59182706135417,2013-08-26
"L",2013,239,25.1318055555556,2.66505564579514,6.53399305555556,94.2829963692361,7.54461821479167,2013-08-27
"L",2013,240,25.1423263888889,2.34448936946181,6.50173611111111,93.139429725,7.45148802979861,2013-08-28
"L",2013,241,25.5247916666667,3.10020975006597,6.46291666666667,91.3047681938194,7.272326313375,2013-08-29
"L",2013,242,24.6502926311806,2.63332969516667,6.42743055555556,88.5331464128472,7.13275274655903,2013-08-30
"L",2013,243,24.1020833333333,2.24807976262153,6.39069444444444,86.8442646132639,7.0425945625625,2013-08-31
"L",2013,244,23.6789583333333,2.86278549690625,6.40958333333333,86.7446967060764,7.08055731028125,2013-09-01
"L",2013,245,21.9245097711111,3.534360537875,6.37305597049306,83.2701055836111,6.97175475464931,2013-09-02
"L",2013,246,21.0132291666667,2.85146525759028,6.36506944444444,83.1909844835764,7.05296324628472,2013-09-03
"L",2013,247,21.0622916666667,2.69613337588194,6.38979166666667,85.4250956713194,7.23992186009028,2013-09-04
"L",2013,248,20.7772222222222,2.58147038485764,6.39142361111111,84.9939710474653,7.23608179801389,2013-09-05
"L",2013,249,20.6219444444444,3.17247740005903,6.40069444444444,86.0229401411458,7.34214465016319,2013-09-06
"L",2014,136,9.25246527777778,4.34251729749306,6.42430555555556,97.7983685029514,10.5363888888889,2014-05-16
"L",2014,137,9.80597222222222,3.88434894540972,6.46184027777778,100.465482022812,10.6746527777778,2014-05-17
"L",2014,138,11.0298263888889,4.10712954423611,6.50638888888889,103.97371399184,10.7214930555556,2014-05-18
"L",2014,139,12.0526736111111,5.65442106022569,6.58482638888889,108.497089750347,10.9237152777778,2014-05-19
"L",2014,140,12.2910416666667,6.18287689829861,6.67222222222222,107.097217694444,10.724375,2014-05-20
"L",2014,141,13.4235416666667,5.00281922775,6.71975694444444,109.448198724653,10.6876041666667,2014-05-21
"L",2014,142,13.9467708333333,4.95051550157639,6.7271875,109.087554686458,10.5342013888889,2014-05-22
"L",2014,143,14.7283680555556,3.37182147499653,6.68788194444444,108.681826977431,10.3229166666667,2014-05-23
"L",2014,144,16.3614583333333,2.91165060877431,6.63270833333333,109.79011066625,10.0940625,2014-05-24
"L",2014,145,18.0449305555556,2.57024723214931,6.53114583333333,107.43395778,9.57413194444444,2014-05-25
"L",2014,146,19.6347569444444,2.80033806705208,6.50618055555556,108.341479884375,9.39,2014-05-26
"L",2014,147,20.5066319444444,3.22341949901042,6.40333333333333,101.071209136007,8.63607638888889,2014-05-27
"L",2014,148,19.7476388888889,2.70168167659028,6.40934027777778,100.222612940347,8.66958333333333,2014-05-28
"L",2014,149,20.4092708333333,2.25220877425,6.39197916666667,99.3837638289583,8.5053125,2014-05-29
"L",2014,150,21.6621875,1.92402492705556,6.34597222222222,97.6361575821875,8.19447916666667,2014-05-30
"L",2014,151,22.5898263888889,1.85971641459028,6.33329861111111,96.3416808139931,7.97569444444444,2014-05-31
"L",2014,152,23.016875,2.14041254820139,6.359375,94.9211904103819,7.81,2014-06-01
"L",2014,153,22.8970138888889,2.57060372420833,6.36163194444444,93.3449458475347,7.69315972222222,2014-06-02
"L",2014,154,21.2124652777778,2.56869532856944,6.37854166666667,94.6148492822222,7.99677083333333,2014-06-03
"L",2014,155,20.6280208333333,2.13494704014931,6.42361111111111,96.6775785093403,8.24493055555556,2014-06-04
"L",2014,156,20.7896180555556,2.02623241441319,6.41739583333333,96.6564277802083,8.22180555555556,2014-06-05
"L",2014,157,21.6098263888889,1.95895425321181,6.38704861111111,96.3539597890278,8.09270833333333,2014-06-06
"L",2014,158,21.3128125,2.57687060596528,6.3803125,95.4035040855903,8.05034722222222,2014-06-07
"L",2014,159,20.2130902777778,2.19741076392708,6.39489583333333,96.3249618350694,8.26944444444444,2014-06-08
"L",2014,160,19.9710069444444,2.35877351544097,6.39555555555556,96.4375577982292,8.3115625,2014-06-09
"L",2014,161,19.8539583333333,2.152492488125,6.40472222222222,97.5146135332986,8.42135416666667,2014-06-10
"L",2014,162,20.5915972222222,1.86563364913194,6.41690972222222,98.4963172296875,8.40475694444445,2014-06-11
"L",2014,163,20.5107789345486,2.84446656262153,6.39225694444444,97.1689303895486,8.30454861111111,2014-06-12
"L",2014,164,19.1113262021875,2.61794636174653,6.42638888888889,98.9821285595486,8.65492083794445,2014-06-13
"L",2014,165,18.8678819444444,3.14235205736806,6.46711805555556,99.1436186788889,8.70527777777778,2014-06-14
"L",2014,166,18.1464236111111,3.50489971641319,6.46402777777778,98.7775027899653,8.78361111111111,2014-06-15
